"City","Airline_Code","Airline_Name","Airport_Code","Airport_Name","Latitude","Longitude","Elevation","Cancelled"
"Miami","F9","Frontier Airlines Inc.","MIA","Miami International Airport","25.7931995392","-80.2906036377","8","13019"
"Miami","NK","Spirit Air Lines","MIA","Miami International Airport","25.7931995392","-80.2906036377","8","11343"
"Miami","B6","JetBlue Airways","MIA","Miami International Airport","25.7931995392","-80.2906036377","8","8704"
"Miami","YV","Mesa Airlines Inc.","MIA","Miami International Airport","25.7931995392","-80.2906036377","8","530"
"Miami","AS","Alaska Airlines Inc.","MIA","Miami International Airport","25.7931995392","-80.2906036377","8","319"
"Miami","9E","Endeavor Air Inc.","MIA","Miami International Airport","25.7931995392","-80.2906036377","8","125"
"New York","B6","JetBlue Airways","JFK","John F Kennedy International Airport","40.6398010300","-73.7789001500","13","154275"
"New York","YX","Republic Airline","LGA","La Guardia Airport","40.7771987900","-73.8725967400","21","133022"
"New York","DL","Delta Air Lines Inc.","JFK","John F Kennedy International Airport","40.6398010300","-73.7789001500","13","105000"
"New York","DL","Delta Air Lines Inc.","LGA","La Guardia Airport","40.7771987900","-73.8725967400","21","92707"
"New York","9E","Endeavor Air Inc.","LGA","La Guardia Airport","40.7771987900","-73.8725967400","21","89503"
"New York","AA","American Airlines Inc.","LGA","La Guardia Airport","40.7771987900","-73.8725967400","21","77011"
"New York","9E","Endeavor Air Inc.","JFK","John F Kennedy International Airport","40.6398010300","-73.7789001500","13","67401"
"New York","AA","American Airlines Inc.","JFK","John F Kennedy International Airport","40.6398010300","-73.7789001500","13","53684"
"New York","WN","Southwest Airlines Co.","LGA","La Guardia Airport","40.7771987900","-73.8725967400","21","43176"
"New York","YX","Republic Airline","JFK","John F Kennedy International Airport","40.6398010300","-73.7789001500","13","40504"
"New York","B6","JetBlue Airways","LGA","La Guardia Airport","40.7771987900","-73.8725967400","21","32102"
"New York","UA","United Air Lines Inc.","LGA","La Guardia Airport","40.7771987900","-73.8725967400","21","23771"
"New York","NK","Spirit Air Lines","LGA","La Guardia Airport","40.7771987900","-73.8725967400","21","16487"
"New York","OO","SkyWest Airlines Inc.","LGA","La Guardia Airport","40.7771987900","-73.8725967400","21","15279"
"New York","AS","Alaska Airlines Inc.","JFK","John F Kennedy International Airport","40.6398010300","-73.7789001500","13","14116"
"New York","MQ","Envoy Air","LGA","La Guardia Airport","40.7771987900","-73.8725967400","21","13884"
"New York","YV","Mesa Airlines Inc.","LGA","La Guardia Airport","40.7771987900","-73.8725967400","21","6743"
"New York","MQ","Envoy Air","JFK","John F Kennedy International Airport","40.6398010300","-73.7789001500","13","5723"
"New York","OO","SkyWest Airlines Inc.","JFK","John F Kennedy International Airport","40.6398010300","-73.7789001500","13","4292"
"New York","F9","Frontier Airlines Inc.","LGA","La Guardia Airport","40.7771987900","-73.8725967400","21","3998"
"New York","OH","PSA Airlines Inc.","LGA","La Guardia Airport","40.7771987900","-73.8725967400","21","2407"
"New York","EV","ExpressJet Airlines LLC d/b/a aha!","LGA","La Guardia Airport","40.7771987900","-73.8725967400","21","2300"
"New York","UA","United Air Lines Inc.","JFK","John F Kennedy International Airport","40.6398010300","-73.7789001500","13","2143"
"New York","HA","Hawaiian Airlines Inc.","JFK","John F Kennedy International Airport","40.6398010300","-73.7789001500","13","1231"
"New York","OH","PSA Airlines Inc.","JFK","John F Kennedy International Airport","40.6398010300","-73.7789001500","13","254"
